BN,CO,PARA,LN,POSITION OR DUTY TITLE,GR,POSCO,BR,ID,AMSCO,SWC,MDEP,REQ,AUTH,R1 R2 R3

,,650A,0,S1 447TH,,W0,,,,,,,,
3,1,650A,1,PERS SGT,E7,75H4O,NC,I,32173100,PUV,TATC,1,1,ZR
3,1,650A,2,BN CHAPLAIN,O3,56A00,CH,K,32477100,BZD,QNMG,1,1,
3,1,650A,3,PERS ADMIN SGT,E6,75H3O,NC,I,32173100,PUV,TATC,1,1,ZR
3,1,650A,4,PERS ADMIN SGT,E5,75B2O,NC,I,32173100,PUV,TATC,1,1,ZR
3,1,650A,5,ADMIN SP,E4,71L1O,,I,32173100,PUV,TATC,1,1,ZR
3,1,650A,6,CHAP ASST,E4,56M1O,,I,32477100,BZD,QNMG,1,1,
3,1,650A,7,PERS ADMIN SP,E4,75B1O,,I,32173100,PUV,TATC,1,0,ZR
3,1,650A,8,MIL PERS CLK T,4,204,GS,C,32173100,PUV,TATC,1,1,ZR
3,1,650A,9,LEGAL CLERK T,4,986,GS,C,32173100,PUV,TATC,1,1,ZR

,,,,,,,0A T,OTA,,,,9,8,

,,650B,0,S4 447TH,,W0,,,,,,,,
3,1,650B,1,SUPPLY SGT,E7,92Y4O,NC,I,32173100,MCZ,TATC,1,1,ZR
3,1,650B,2,ASST SUP SGT,E5,92Y2O,NC,I,32173100,MCZ,TATC,1,1,ZR
3,1,650B,3,SUPPLY SP,E4,92Y1O,,I,32173100,MCZ,TATC,1,1,ZR
3,1,650B,4,SUPPLY SP,E3,92Y1O,,I,32173100,MCZ,TATC,2,2,ZR

,,,,,,,0B T,OTA,,,,5,5,

,,650C,0,S3 COURSE MGT DEPT,,W0,,,,,,,,
3,1,650C,1,SUPV TNG SP,13,1712,GS,C,32173100,UMC,TFNC,1,1,CT
3,1,650C,1,A CH INSTR/WTR,E9,31Z5H,NC,I,32173100,UMB,TATC,1,1,XT
3,1,650C,3,SECY OFC AUTO,5,318,GS,C,32173100,UMC,TATC,1,1,ZR
3,1,650C,8,TNG SP WRITER,11,1712,GS,C,32173100,UKC,TATC,1,1,XV
3,1,650C,9,OPNS SGT,E6,31U3O,NC,I,32173100,UMC,TATC,1,1,
3,1,650C,10,OPNS SGT,E8,31W5O,NC,I,32173100,BAH,TATC,1,1,TL
3,1,650C,11,SR TNG MGT NCO,E7,31S4O,NC,I,32173100,UMD,TATC,1,1,

,,,,,,,0C T,OTA,,,,7,7,

,,650D,0,SW TR & MW SYS DIV,,W0,,,,,,,,
3,1,650D,1,SUPV TNG INSTR,12,1712,GS,C,32173100,UMC,TFNC,1,1,XV CT
3,1,650D,2,CH INSTR/WTR,E8,31T5H,NC,I,32173100,UMC,TATC,1,1,XT
3,1,650D,3,INSTR/WRIT-AF,E7,31W4H,NC,I,32173100,UKC,TFNC,3,3,91 XT
3,1,650D,4,INSTR/WTR,E7,31P4H,NC,I,32173100,UKC,TATC,1,1,XT
3,1,650D,5,INSTR/WTR,E7,31P4H,NC,I,32173100,UKC,TATC,1,1,XT
3,1,650D,5,A INSTR/WTR,E7,31P4H,NC,I,32173100,UKC,TFNC,1,1,XT
3,1,650D,6,INSTR/WTR (AF),E7,31P4H,NC,I,32173100,UKC,TFNC,3,3,91 XT
3,1,650D,7,INSTR/WTR,E7,31W4H,NC,I,32173100,UKC,TATC,12,12,XT VV
3,1,650D,8,SR TNG MGMT NCO,E7,31W4O,NC,I,32173100,UKC,TATC,4,4,
3,1,650D,9,SR TNG MGT NCO,E7,31P4O,NC,I,32173100,UKC,TATC,1,1,
3,1,650D,10,INSTR/WTR,E7,31P4H,NC,I,32173100,UKC,TATC,1,1,XT
3,1,650D,11,INSTR/WTR-AF,E6,31F3H,NC,I,32173100,UKC,TFNC,8,8,91 XT
3,1,650D,12,NETWORK SW SYS OPR,E6,31F3O,NC,I,32173100,UMD,TATC,5,4,
3,1,650D,13,NETWORK SW SYS OPR,E6,31F3O,NC,I,32173100,UMD,TATC,3,0,YU
3,1,650D,14,INSTR/WTR,E6,31F3H,NC,I,32173100,UKC,TATC,25,23,XT
3,1,650D,15,INSTR/WTR,E6,31P3H,NC,I,32173100,UKC,TATC,1,1,XT
3,1,650D,16,INSTR/WTR,E6,31P3H,NC,I,32173100,UKC,TATC,4,2,XT
